2026-06-14 23:54:16,675 DEBUG   aiosqlite — executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,676 DEBUG   aiosqlite — operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,676 DEBUG   aiosqlite — executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,676 DEBUG   aiosqlite — operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,676 INFO    chesstracker.timing — <<< POST /api/auth/login [127.0.0.1:123] — 200 — 0.1752s
2026-06-14 23:54:16,676 INFO    httpx — HTTP Request: POST http://test/api/auth/login "HTTP/1.1 200 OK"
2026-06-14 23:54:16,677 INFO    chesstracker.timing — >>> POST /api/tournaments [127.0.0.1:123] — started
2026-06-14 23:54:16,677 DEBUG   chesstracker.deps — DB session created in 0.000s
2026-06-14 23:54:16,678 DEBUG   chesstracker.deps — JWT decoded in 0.000s
2026-06-14 23:54:16,678 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,678 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,678 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705630374b40>, 'SELECT 1', [])
2026-06-14 23:54:16,678 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705630374b40>, 'SELECT 1', []) completed
2026-06-14 23:54:16,679 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705630374b40>)
2026-06-14 23:54:16,679 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705630374b40>) completed
2026-06-14 23:54:16,679 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x705630374b40>)
2026-06-14 23:54:16,679 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x705630374b40>) completed
2026-06-14 23:54:16,679 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,679 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,679 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056303779c0>, 'SELECT users.id, users.username, users.hashed_password, users.role, users.created_at \nFROM users \nWHERE users.id = ?', (1,))
2026-06-14 23:54:16,679 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056303779c0>, 'SELECT users.id, users.username, users.hashed_password, users.role, users.created_at \nFROM users \nWHERE users.id = ?', (1,)) completed
2026-06-14 23:54:16,679 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056303779c0>)
2026-06-14 23:54:16,679 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056303779c0>) completed
